#VMMRNbr BUSNbr MMRCh PadNbr
0 0 31 1 
0 0 29 2
0 0 27 3
0 0 25 4
0 0 23 5
0 0 21 6
0 0 19 7
0 0 17 8
0 0 15 9
0 0 13 10
0 0 11 11
0 0 9  12
0 0 7  13
0 0 5  14
0 0 3  15
0 0 1  16
0 0 0  17
0 0 2  18
0 0 4  19
0 0 6  20
0 0 8  21
0 0 10 22
0 0 12 23
0 0 14 24
0 0 16 25
0 0 18 26
0 0 20 27
0 0 22 28
0 0 24 29
0 0 26 30 
0 0 28 31
0 0 30 32
0 0 32 33
0 0 34 34
0 0 36 35
0 0 38 36
0 0 40 37
0 0 42 38
0 0 44 39
0 0 46 40
0 0 48 41
0 0 50 42
0 0 52 43
0 0 54 44
0 0 56 45
0 0 58 46
0 0 60 47
0 0 62 48
0 0 63 49
0 0 61 50
0 0 59 51
0 0 57 52
0 0 55 53
0 0 53 54
0 0 51 55
0 0 49 56
0 0 47 57
0 0 45 58
0 0 43 59
0 0 41 60
0 0 39 61
0 0 37 62
0 0 35 63
0 0 33 64

