 # plane   bar     PM      PC      SFP    Tamex   channel    HV box  HV channel
    1         1         1         1         0         1        11        1         26
    1         1         2         0         0         1         1         2         26
    1         2         1         1         0         1         10        1         27
    1         2         2         0         0         1         0         2         27
    1         3         1         1         0         1         9         1         28
    1         3         2         0         0         1         15        2         28
    1         4         1         1         0         1         8         1         29
    1         4         2         0         0         1         14        2         29
    1         5         1         1         0         2         7         1         30
    1         5         2         0         0         1         13        2         30
    1         6         1         1         0         2         6         1         31
    1         6         2         0         0         1         12        2         31
    1         7         1         1         0         2         5         1         32
    1         7         2         0         0         1         11        2         32
    1         8         1         1         0         2         4         1         33
    1         8         2         0         0         1         10        2         33
    1         9         1         1         0         2         3         1         34
    1         9         2         0         0         1         9         2         34
    1         10        1         1         0         2         2         1         35
    1         10        2         0         0         1         8         2         35
    1         11        1         1         0         2         1         1         36
    1         11        2         0         0         2         7         2         36
    1         12        1         1         0         2         0         1         37
    1         12        2         0         0         2         6         2         37
    1         13        1         1         0         2         15        1         38
    1         13        2         0         0         2         5         2         38
    1         14        1         1         0         2         14        1         39
    1         14        2         0         0         2         4         2         39
    1         15        1         1         0         2         13        1         40
    1         15        2         0         0         2         3         2         40
    1         16        1         1         0         2         12        1         41
    1         16        2         0         0         2         2         2         41
    1         17        1         1         0         2         11        1         42
    1         17        2         0         0         2         1         2         42
    1         18        1         1         0         2         10        1         43
    1         18        2         0         0         2         0         2         43
    1         19        1         1         0         2         9         1         44
    1         19        2         0         0         2         15        2         44
    1         20        1         1         0         2         8         1         45
    1         20        2         0         0         2         14        2         45
    1         21        1         1         0         3         7         1         46
    1         21        2         0         0         2         13        2         46
    1         22        1         1         0         3         6         1         47
    1         22        2         0         0         2         12        2         47
    1         23        1         1         0         3         5         1         48
    1         23        2         0         0         2         11        2         48
    1         24        1         1         0         3         4         1         49
    1         24        2         0         0         2         10        2         49
    1         25        1         1         0         3         3         1         50
    1         25        2         0         0         2         9         2         50
    1         26        1         1         0         3         2         4         26
    1         26        2         0         0         2         8         3         26
    1         27        1         1         0         3         1         4         27
    1         27        2         0         0         3         7         3         27
    1         28        1         1         0         3         0         4         28
    1         28        2         0         0         3         6         3         28
    1         29        1         1         0         3         15        4         29
    1         29        2         0         0         3         5         3         29
    1         30        1         1         0         3         14        4         30
    1         30        2         0         0         3         4         3         30
    1         31        1         1         0         3         13        4         31
    1         31        2         0         0         3         3         3         31
    1         32        1         1         0         3         12        4         32
    1         32        2         0         0         3         2         3         32
    1         33        1         1         0         3         11        4         33
    1         33        2         0         0         3         1         3         33
    1         34        1         1         0         3         10        4         34
    1         34        2         0         0         3         0         3         34
    1         35        1         1         0         3         9         4         35
    1         35        2         0         0         3         15        3         35
    1         36        1         1         0         3         8         4         36
    1         36        2         0         0         3         14        3         36
    1         37        1         1         0         4         7         4         37
    1         37        2         0         0         3         13        3         37
    1         38        1         1         0         4         6         4         38
    1         38        2         0         0         3         12        3         38
    1         39        1         1         0         4         5         4         39
    1         39        2         0         0         3         11        3         39
    1         40        1         1         0         4         4         4         40
    1         40        2         0         0         3         10        3         40
    1         41        1         1         0         4         3         4         41
    1         41        2         0         0         3         9         3         41
    1         42        1         1         0         4         2         4         42
    1         42        2         0         0         3         8         3         42
    1         43        1         1         0         4         1         4         43
    1         43        2         0         0         4         7         3         43
    1         44        1         1         0         4         0         4         44
    1         44        2         0         0         4         6         3         44
    1         45        1         1         0         4         15        4         45
    1         45        2         0         0         4         5         3         45
    1         46        1         1         0         4         14        4         46
    1         46        2         0         0         4         4         3         46
    1         47        1         1         0         4         13        4         47
    1         47        2         0         0         4         3         3         47
    1         48        1         1         0         4         12        4         48
    1         48        2         0         0         4         2         3         48
    1         49        1         1         0         4         11        4         49
    1         49        2         0         0         4         1         3         49
    1         50        1         1         0         4         10        4         50
    1         50        2         0         0         4         0         3         50
    2         1         1         1         0         0         7         1         1
    2         1         2         1         0         4         9         4         1
    2         2         1         1         0         0         6         1         2
    2         2         2         1         0         4         8         4         2
    2         3         1         1         0         0         5         1         3
    2         3         2         1         0         5         7         4         3
    2         4         1         1         0         0         4         1         4
    2         4         2         1         0         5         6         4         4
    2         5         1         1         0         0         3         1         5
    2         5         2         1         0         5         5         4         5
    2         6         1         1         0         0         2         1         6
    2         6         2         1         0         5         4         4         6
    2         7         1         1         0         0         1         1         7
    2         7         2         1         0         5         3         4         7
    2         8         1         1         0         0         0         1         8
    2         8         2         1         0         5         2         4         8
    2         9         1         1         0         0         15        1         9
    2         9         2         1         0         5         1         4         9
    2         10        1         1         0         0         14        1         10
    2         10        2         1         0         5         0         4         10
    2         11        1         1         0         0         13        1         11
    2         11        2         1         0         5         15        4         11
    2         12        1         1         0         0         12        1         12
    2         12        2         1         0         5         14        4         12
    2         13        1         1         0         0         11        1         13
    2         13        2         1         0         5         13        4         13
    2         14        1         1         0         0         10        1         14
    2         14        2         1         0         5         12        4         14
    2         15        1         1         0         0         9         1         15
    2         15        2         1         0         5         11        4         15
    2         16        1         1         0         0         8         1         16
    2         16        2         1         0         5         10        4         16
    2         17        1         1         0         1         7         1         17
    2         17        2         1         0         5         9         4         17
    2         18        1         1         0         1         6         1         18
    2         18        2         1         0         5         8         4         18
    2         19        1         1         0         1         5         1         19
    2         19        2         1         0         6         7         4         19
    2         20        1         1         0         1         4         1         20
    2         20        2         1         0         6         6         4         20
    2         21        1         1         0         1         3         1         21
    2         21        2         1         0         6         5         4         21
    2         22        1         1         0         1         2         1         22
    2         22        2         1         0         6         4         4         22
    2         23        1         1         0         1         1         1         23
    2         23        2         1         0         6         3         4         23
    2         24        1         1         0         1         0         1         24
    2         24        2         1         0         6         2         4         24
    2         25        1         1         0         1         15        1         25
    2         25        2         1         0         6         1         4         25
    2         26        1         1         0         1         14        2         1
    2         26        2         1         0         6         0         3         1
    2         27        1         1         0         1         13        2         2
    2         27        2         1         0         6         15        3         2
    2         28        1         1         0         1         12        2         3
    2         28        2         1         0         6         14        3         3
    2         29        1         0         0         0         7         2         4
    2         29        2         1         0         6         13        3         4
    2         30        1         0         0         0         6         2         5
    2         30        2         1         0         6         12        3         5
    2         31        1         0         0         0         5         2         6
    2         31        2         0         0         4         15        3         6
    2         32        1         0         0         0         4         2         7
    2         32        2         0         0         4         14        3         7
    2         33        1         0         0         0         3         2         8
    2         33        2         0         0         4         13        3         8
    2         34        1         0         0         0         2         2         9
    2         34        2         0         0         4         12        3         9
    2         35        1         0         0         0         1         2         10
    2         35        2         0         0         4         11        3         10
    2         36        1         0         0         0         0         2         11
    2         36        2         0         0         4         10        3         11
    2         37        1         0         0         0         15        2         12
    2         37        2         0         0         4         9         3         12
    2         38        1         0         0         0         14        2         13
    2         38        2         0         0         4         8         3         13
    2         39        1         0         0         0         13        2         14
    2         39        2         0         0         5         7         3         14
    2         40        1         0         0         0         12        2         15
    2         40        2         0         0         5         6         3         15
    2         41        1         0         0         0         11        2         16
    2         41        2         0         0         5         5         3         16
    2         42        1         0         0         0         10        2         17
    2         42        2         0         0         5         4         3         17
    2         43        1         0         0         0         9         2         18
    2         43        2         0         0         5         3         3         18
    2         44        1         0         0         0         8         2         19
    2         44        2         0         0         5         2         3         19
    2         45        1         0         0         1         7         2         20
    2         45        2         0         0         5         1         3         20
    2         46        1         0         0         1         6         2         21
    2         46        2         0         0         5         0         3         21
    2         47        1         0         0         1         5         2         22
    2         47        2         0         0         5         15        3         22
    2         48        1         0         0         1         4         2         23
    2         48        2         0         0         5         14        3         23
    2         49        1         0         0         1         3         2         24
    2         49        2         0         0         5         13        3         24
    2         50        1         0         0         1         2         2         25
    2         50        2         0         0         5         12        3         25
